seconds,count,levels
0.007,0,[]
36.421,1,[1]
36.441,2,[1, 1]
36.461,3,[1, 1, 1]
36.461,4,[1, 1, 1, 1]
65.507,4,[1, 1, 1, 2]
66.196,4,[1, 1, 2, 2]
70.171,4,[1, 2, 2, 2]
72.442,5,[1, 1, 2, 2, 2]
74.636,6,[1, 1, 1, 2, 2, 2]
75.327,7,[1, 1, 1, 1, 2, 2, 2]
75.497,7,[1, 1, 1, 2, 2, 2, 2]
76.130,8,[1, 1, 1, 1, 2, 2, 2, 2]
76.801,9,[1, 1, 1, 1, 1, 2, 2, 2, 2]
76.871,10,[1, 1, 1, 1, 1, 1, 2, 2, 2, 2]
77.266,11,[1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2]
77.446,12,[1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2]
99.919,12,[1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2]
101.170,12,[1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2]
108.003,12,[1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2]
108.443,12,[1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2]
109.705,12,[1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2]
116.368,12,[1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
117.813,12,[1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
122.034,12,[1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3]
122.034,12,[1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3]
126.024,12,[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3]
732.974,12,[2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3]
732.974,12,[2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3]
